"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Benin","BEN","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9363946186831","43.6926705118436","26.7880043968939","27.6820827450328","22.2886330922185","17.4921359700693","22.3364148084471","25.6878952899621","21.3150875234725","19.4013566618033","13.147625150151","11.2987354560338","10.3622006892346","11.6081383700597","14.4309417907709","13.2308332566403",
"Burkina Faso","BFA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8356491015324","13.137085736223","17.3734574211297","17.1396173274014","9.41503131304194","11.1933742708493","17.5030938278027","16.5561322264554","12.3923583211728","16.4358618504523","16.2020017607994","12.2017432305019","10.2189331591536","8.83975408249387","9.52054888643018","8.98140449384998",
"Bangladesh","BGD","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6334041031943","10.6109187616192","10.3352830434686","9.79702563858289","10.5865188373653","10.7775311025778","10.6833841157178","10.2357532106188","11.438777193941","10.0578017247087","11.3044377384773","11.6907192613538","12.4856475211213","11.1650217668981","14.4700469230979","15.4028023575171",
"Bulgaria","BGR","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1328390971149","12.8218601978293","12.1998560573817","14.0779054989574","13.4626492367807","14.6849535773891","15.3526745095235","11.0600329964764","10.0998962025427","11.7537194315433","11.7299528535251","14.0775225940124","12.5206679955891","14.7543555282042","28.2123308305176","26.9641290523721",
"Bahrain","BHR","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1556524317629","11.9144492829108","16.4817651697392","21.6829723942595","25.4275952026205","29.1178065342185","28.1067186193162","20.7688572179638","22.6878163023847","22.9792869081251","21.0088830787255","19.9560485000424","21.9785996766211","23.3819865809513","25.4701976548336","27.0017776276573",
"Belarus","BLR","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8743916193809","9.83795090300485","10.6871263545107","10.2944241556488","13.9976229545358","10.5367987936486","8.41111152806189","6.90998225806894","4.84795439271345","18.8683409680878","31.8144861103922","23.6448747089265","17.9952886789035","16.9751105686638","18.321395125352","19.2249804347381",
"Belize","BLZ","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1061188796843","8.86336899364225","9.2808291382008","9.51934740505365","10.6813842153748","12.9506843612013","11.0228849531704","12.4416057789396","14.4959073598776","13.9208574054181","16.2805386233934","19.2159062721804","22.5497477334381","28.1647188308474","33.9125180180107","32.7943824253783",
"Bermuda","BMU","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
